Chat	Chat
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Golden Burst.rarity
Folder	ReplicatedStorage.OPhhSZQjWxdy/Assets.Halloween Particles
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Halloween Particles.enchantEffect1
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Halloween Particles.enchantEffect2
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Halloween Particles.enchantEffect3
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Halloween Particles.imageId
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Halloween Particles.rarity
Folder	ReplicatedStorage.OPhhSZQjWxdy/Assets.Jade Pulse
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Jade Pulse.enchantEffect1
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Jade Pulse.enchantEffect2
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Jade Pulse.enchantEffect3
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Jade Pulse.imageId
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Jade Pulse.rarity
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Handle
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Handle.Meshes/rootbeersalesman_Cylinder.001/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Handle.Meshes/rootbeersalesman_Cylinder/Weld
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Handle.RightGripAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Handle.enchantPart/Weld
Sound	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Handle.hit
Sound	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Handle.swing
Model	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Model
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Model.Meshes/rootbeersalesman_Cylinder
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Model.Meshes/rootbeersalesman_Cylinder.001
Trail	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Trail
BoolValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.Weapon
NumberValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.attackSpeed
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.currentSwingAnim
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.currentUpgrade
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.enchantPart
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.enchantPart.enchantEffect1
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.enchantPart.enchantEffect2
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.enchantPart.enchantEffect3
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.enchantment
Animation	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.idleAnim
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.imageId
NumberValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.levelReq
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.maxUpgrades
NumberValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.physicalDamage
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.rarity
Animation	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.runAnim
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.sellPrice
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.spellPower
RemoteEvent	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.swing
Animation	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.swing1
Animation	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.swing2
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.totalSwingAnims
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Root Beer.type
Folder	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.head
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.head.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.head.Handle.HatAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.head.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Cylinder.005/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.head.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Cylinder/Weld
Model	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.head.Model
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.head.Model.Meshes/coolyellowhairedanimepersonpatchheadband_Cylinder
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.head.Model.Meshes/coolyellowhairedanimepersonpatchheadband_Cylinder.005
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.head.helmet
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftFoot
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftFoot.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftFoot.Handle.LeftAnkleRigAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftFoot.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy8.002/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftFoot.Handle.leftFoot/Weld
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftFoot.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy8.002
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftFoot.chest
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftFoot.leftFoot
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftForearm
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftForearm.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftForearm.Handle.LeftElbowRigAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftForearm.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy14.001/Weld
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftForearm.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy14.001
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftForearm.chest
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftLowerLeg
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftLowerLeg.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftLowerLeg.Handle.LeftKneeRigAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftLowerLeg.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy7.002/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftLowerLeg.Handle.leftLowerLeg/Weld
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftLowerLeg.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy7.002
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftLowerLeg.chest
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftLowerLeg.leftLowerLeg
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftShoulder
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftShoulder.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftShoulder.Handle.LeftShoulderAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftShoulder.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy13.002/Weld
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftShoulder.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy13.002
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftShoulder.chest
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftUpperLeg
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftUpperLeg.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftUpperLeg.Handle.LeftHipRigAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftUpperLeg.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy6.001/Weld
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftUpperLeg.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy6.001
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.leftUpperLeg.chest
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rarity
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightFoot
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightFoot.Handle
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightFoot.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy8.001/Weld
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightFoot.Handle.RightAnkleRigAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightFoot.Handle.rightFoot/Weld
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightFoot.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy8.001
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightFoot.chest
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightFoot.rightFoot
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightForearm
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightForearm.Handle
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightForearm.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy14/Weld
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightForearm.Handle.RightElbowRigAttachment
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightForearm.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy14
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightForearm.chest
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightLowerLeg
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightLowerLeg.Handle
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightLowerLeg.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy7/Weld
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightLowerLeg.Handle.RightKneeRigAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightLowerLeg.Handle.rightLowerLeg/Weld
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightLowerLeg.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy7
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightLowerLeg.chest
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightLowerLeg.rightLowerLeg
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightShoulder
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightShoulder.Handle
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightShoulder.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy13.001/Weld
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightShoulder.Handle.RightShoulderAttachment
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightShoulder.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy13.001
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightShoulder.chest
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightUpperLeg
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightUpperLeg.Handle
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightUpperLeg.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Cube/Weld
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightUpperLeg.Handle.RightHipRigAttachment
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightUpperLeg.Meshes/coolyellowhairedanimepersonpatchheadband_Cube
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.rightUpperLeg.chest
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.upperTorso
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.upperTorso.Handle
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.upperTorso.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy13.004/Weld
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.upperTorso.Handle.NeckRigAttachment
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.upperTorso.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy13.004
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.upperTorso.chest
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.waist
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.waist.Handle
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.waist.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy2.000/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.waist.Handle.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy2.002/Weld
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.waist.Handle.WaistCenterAttachment
Model	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.waist.Model
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.waist.Model.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy2.000
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.waist.Model.Meshes/coolyellowhairedanimepersonpatchheadband_Dummy2.002
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Roruto.waist.chest
Folder	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle.LeftGripAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle.Meshes/ChaosAndOrder_Cone.010/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle.Meshes/ChaosAndOrder_Cone.07450/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle.Meshes/ChaosAndOrder_Cube.027/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle.enchantPart/Weld
Sound	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle.hit
Sound	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle.swing
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle.trail1/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Handle.trail2/Weld
Model	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Model
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Model.Meshes/ChaosAndOrder_Cone.010
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Model.Meshes/ChaosAndOrder_Cone.07450
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Model.Meshes/ChaosAndOrder_Cube.027
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Model.Meshes/ChaosAndOrder_Cube.027.ParticleEmitter
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Model.Meshes/ChaosAndOrder_Cube.027.ParticleEmitter
Trail	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.Trail
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.enchantPart
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.enchantPart.enchantEffect1
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.enchantPart.enchantEffect2
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.enchantPart.enchantEffect3
BoolValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.offhand
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.trail1
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.trail1.Attachment
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.trail2
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualLeft.trail2.Attachment
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle.Meshes/ChaosAndOrder_Cone.010/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle.Meshes/ChaosAndOrder_Cone.07450/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle.Meshes/ChaosAndOrder_Cube.027/Weld
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle.RightGripAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle.enchantPart/Weld
Sound	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle.hit
Sound	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle.swing
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle.trail1/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Handle.trail2/Weld
Model	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Model
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Model.Meshes/ChaosAndOrder_Cone.010
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Model.Meshes/ChaosAndOrder_Cone.07450
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Model.Meshes/ChaosAndOrder_Cube.027
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Model.Meshes/ChaosAndOrder_Cube.027.ParticleEmitter
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Model.Meshes/ChaosAndOrder_Cube.027.ParticleEmitter
Trail	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Trail
BoolValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.Weapon
NumberValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.attackSpeed
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.currentSwingAnim
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.currentUpgrade
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.enchantPart
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.enchantPart.enchantEffect1
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.enchantPart.enchantEffect2
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.enchantPart.enchantEffect3
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.enchantment
Animation	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.idleAnim
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.imageId
NumberValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.levelReq
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.maxUpgrades
Trail	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.permTrail
NumberValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.physicalDamage
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.rarity
Animation	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.runAnim
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.sellPrice
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.spellPower
RemoteEvent	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.swing
Animation	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.swing1
Animation	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.swing2
Animation	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.swing3
IntValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.totalSwingAnims
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.trail1
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.trail1.Attachment
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.trail2
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.trail2.Attachment
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.dualRight.type
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Daggers.rarity
Folder	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Handle.HatAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Handle.Meshes/ChaosSpirit_Cube.007/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Handle.Meshes/ChaosSpirit_Cube.009/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Handle.Meshes/ChaosSpirit_Cube.013/Weld
Model	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Model
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Model.Meshes/ChaosSpirit_Cube.007
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Model.Meshes/ChaosSpirit_Cube.009
ParticleEmitter	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Model.Meshes/ChaosSpirit_Cube.009.ParticleEmitter
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.Model.Meshes/ChaosSpirit_Cube.013
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.head.helmet
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftForearm
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftForearm.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftForearm.Handle.LeftElbowRigAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftForearm.Handle.Meshes/ChaosSpirit_Cube.016/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftForearm.Handle.Meshes/ChaosSpirit_Cube.018/Weld
Model	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftForearm.Model
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftForearm.Model.Meshes/ChaosSpirit_Cube.016
MeshPart	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftForearm.Model.Meshes/ChaosSpirit_Cube.018
StringValue	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftForearm.chest
Accessory	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftHand
Part	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftHand.Handle
Attachment	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftHand.Handle.LeftWristRigAttachment
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftHand.Handle.Meshes/ChaosSpirit_Cube.003/Weld
WeldConstraint	ReplicatedStorage.OPhhSZQjWxdy/Assets.Shadow Spirit.leftHand.Handle.Meshes/ChaosSpirit_Cube.008/Weld
